loss	model	dataset	filtering	type	set
0.648668866	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0	EstMB	90	test	codacore
0.633701601	pred_bal_0	EstMB	90	test	codacore
0.637946908	pred_bal_0	EstMB	90	test	codacore
0.635773106	pred_bal_0	EstMB	90	test	codacore
0.638151501	pred_bal_0	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.647796149	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.633946154	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.633946154	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.631476651	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.639302337	pred_bal_0	EstMB	90	test	codacore
0.633599304	pred_bal_0	EstMB	90	test	codacore
0.638688558	pred_bal_0	EstMB	90	test	codacore
0.638688558	pred_bal_0	EstMB	90	test	codacore
0.637946908	pred_bal_0	EstMB	90	test	codacore
0.591171807	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.591171807	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.591171807	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.591171807	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.647796149	model_bal_0	EstMB	90	training	codacore
0.647813731	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.633946154	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.631476651	pred_bal_0_lr1	EstMB	90	test	codacore
0.624494911	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.6389443	pred_bal_0	EstMB	90	test	codacore
0.629891054	pred_bal_0	EstMB	90	test	codacore
0.629353997	pred_bal_0	EstMB	90	test	codacore
0.635389494	pred_bal_0	EstMB	90	test	codacore
0.644545036	pred_bal_0	EstMB	90	test	codacore
0.591171807	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.591171807	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.647796149	model_bal_0	EstMB	90	training	codacore
0.647813731	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.648668866	model_bal_0	EstMB	90	training	codacore
0.633946154	model_bal_1	EstMB	90	training	codacore
0.633946154	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.643231165	model_bal_1	EstMB	90	training	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.631476651	pred_bal_0_lr1	EstMB	90	test	codacore
0.624494911	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.636565905	pred_bal_0_lr1	EstMB	90	test	codacore
0.640402025	pred_bal_0	EstMB	90	test	codacore
0.632550765	pred_bal_0	EstMB	90	test	codacore
0.629405146	pred_bal_0	EstMB	90	test	codacore
0.634750141	pred_bal_0	EstMB	90	test	codacore
0.639276763	pred_bal_0	EstMB	90	test	codacore
0.591171807	pred_bal_1_lr1	EstMB	90	test	codacore
0.591171807	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.624546059	pred_bal_1_lr1	EstMB	90	test	codacore
0.591171807	pred_bal_1	EstMB	90	test	codacore
0.594726612	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.624546059	pred_bal_1	EstMB	90	test	codacore
0.70736696	ALRo	EstMB	90	training	glmnet
0.703243501	ALRo	EstMB	90	training	glmnet
0.707990905	ALRo	EstMB	90	training	glmnet
0.701951202	ALRo	EstMB	90	training	glmnet
0.702898139	ALRo	EstMB	90	training	glmnet
0.685949568	ALRo	EstMB	90	test	glmnet
0.68602629	ALRo	EstMB	90	test	glmnet
0.685847271	ALRo	EstMB	90	test	glmnet
0.685872845	ALRo	EstMB	90	test	glmnet
0.685872845	ALRo	EstMB	90	test	glmnet
0.70154522	ALRr	EstMB	90	training	glmnet
